slug,name,status,platform,price_label,price,price_note,cta_text,stripe_price_id,success_url,cancel_url,store_serp_co_product_page_url,apps_serp_co_product_page_url,serply_link,categories,keywords
tiktok-downloader,Tiktok Downloader,draft,Tiktok,One-time payment,$17.00,,Get it Now,price_1S99gF06JrOmKRCmcKeM0NSp,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=tiktok-downloader,https://store.serp.co/product-details/product/tiktok-downloader,https://apps.serp.co/tiktok-downloader,https://serp.ly/tiktok-downloader,Downloader;Social Media,tiktok downloader
tnaflix-video-downloader,TNAFlix Video Downloader,draft,TNAFlix,One-time payment,$17.00,,Get it Now,price_1S99gF06JrOmKRCmxPX1Ip5o,https://store.serp.co/product-details/product/tnaflix-video-downloader?checkout=success,https://store.serp.co/product-details/product/tnaflix-video-downloader,https://store.serp.co/product-details/product/tnaflix-video-downloader,https://apps.serp.co/tnaflix-video-downloader,https://serp.ly/tnaflix-video-downloader,Downloader;Adult,tnaflix video downloader
tubi-downloader,Tubi Downloader,draft,Tubi,One-time payment,$17.00,,Get it Now,price_1S99gG06JrOmKRCmmZOSX7ah,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=tubi-downloader,https://store.serp.co/product-details/product/tubi-downloader,https://apps.serp.co/tubi-downloader,https://serp.ly/tubi-downloader,Downloader;Movies & TV,tubi downloader
tumblr-video-downloader,Tumblr Video Downloader,draft,Tumblr,One-time payment,$17.00,,Get it Now,price_1S99gG06JrOmKRCmVRscTagt,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=tumblr-video-downloader,https://store.serp.co/product-details/product/tumblr-video-downloader,https://apps.serp.co/tumblr-video-downloader,https://serp.ly/tumblr-video-downloader,Downloader;Image Hosting;Social Media,tumblr video downloader
twitch-video-downloader,Twitch Video Downloader,draft,Twitch,One-time payment,$17.00,,Get it Now,price_1S99gH06JrOmKRCm3wdakg7Q,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=twitch-video-downloader,https://store.serp.co/product-details/product/twitch-video-downloader,https://apps.serp.co/twitch-video-downloader,https://serp.ly/twitch-video-downloader,Downloader;Livestream;Social Media,twitch video downloader
twitter-video-downloader,Twitter Video Downloader,draft,Twitter,One-time payment,$17.00,,Get it Now,price_1S99gH06JrOmKRCme009G5ob,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=twitter-video-downloader,https://store.serp.co/product-details/product/twitter-video-downloader,https://apps.serp.co/twitter-video-downloader,https://serp.ly/twitter-video-downloader,Downloader;Social Media,twitter video downloader
udemy-video-downloader,Udemy Video Downloader,draft,Udemy,One-time payment,$17.00,,Get it Now,price_1S99gH06JrOmKRCmSnepXJPa,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=udemy-video-downloader,https://store.serp.co/product-details/product/udemy-video-downloader,https://apps.serp.co/udemy-video-downloader,https://serp.ly/udemy-video-downloader,Downloader;Course Platforms,udemy video downloader
unsplash-downloader,Unsplash Downloader,draft,Unsplash,One-time payment,$17.00,,Get it Now,price_1S99gI06JrOmKRCmA9xUhbN6,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=unsplash-downloader,https://store.serp.co/product-details/product/unsplash-downloader,https://apps.serp.co/unsplash-downloader,https://serp.ly/unsplash-downloader,Downloader;Creative Assets;Image Hosting,unsplash downloader
vectorstock-downloader,Vectorstock Downloader,draft,Vectorstock,One-time payment,$17.00,,Get it Now,price_1S99gI06JrOmKRCmTvjSmEWB,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=vectorstock-downloader,https://store.serp.co/product-details/product/vectorstock-downloader,https://apps.serp.co/vectorstock-downloader,https://serp.ly/vectorstock-downloader,Downloader;Creative Assets,vectorstock downloader
vimeo-video-downloader,Vimeo Video Downloader,live,Vimeo,One-time payment,$17.00,Instant download • Lifetime updates,Get it Now,price_1S2fcZ06JrOmKRCmTwbmGNxm,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=vimeo-video-downloader,https://store.serp.co/product-details/product/vimeo-video-downloader,https://apps.serp.co/vimeo-video-downloader,https://serp.ly/vimeo-video-downloader,Downloader;Social Media,vimeo video downloader;download vimeo videos;how to download vimeo videos;download vimeo private video;download vimeo video from link;how to download transcript from vimeo;download embedded vimeo;how to download private vimeo video;how to cancel vimeo subscription;what is vimeo ott;how to make a video private on vimeo;how to watch vimeo on tv;how to embed vimeo video;how to upload a video to vimeo;how much does vimeo cost;how to make vimeo video downloadable;does vimeo have ads;how to delete a vimeo account;how to cancel vimeo;what is vimeo pro;how to change privacy settings on vimeo
vk-video-downloader,Vk Video Downloader,draft,Vk,One-time payment,$17.00,,Get it Now,price_1S99gJ06JrOmKRCmzNGM97WE,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=vk-video-downloader,https://store.serp.co/product-details/product/vk-video-downloader,https://apps.serp.co/vk-video-downloader,https://serp.ly/vk-video-downloader,Downloader;Social Media,vk video downloader
whop-video-downloader,Whop Video Downloader,draft,Whop,One-time payment,$17.00,,Get it Now,price_1S99gJ06JrOmKRCmkAYY713T,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=whop-video-downloader,https://store.serp.co/product-details/product/whop-video-downloader,https://apps.serp.co/whop-video-downloader,https://serp.ly/whop-video-downloader,Downloader;Course Platforms,whop video downloader
wistia-video-downloader,Wistia Video Downloader,draft,Wistia,One-time payment,$17.00,,Get it Now,price_1S99gJ06JrOmKRCmN3MovrlF,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=wistia-video-downloader,https://store.serp.co/product-details/product/wistia-video-downloader,https://apps.serp.co/wistia-video-downloader,https://serp.ly/wistia-video-downloader,Downloader,wistia video downloader
xhamster-video-downloader,Xhamster Video Downloader,draft,Xhamster,One-time payment,$17.00,,Get it Now,price_1RvXdF06JrOmKRCmSniyO7DT,https://store.serp.co/product-details/product/xhamster-video-downloader?checkout=success,https://store.serp.co/product-details/product/xhamster-video-downloader,https://store.serp.co/product-details/product/xhamster-video-downloader,https://apps.serp.co/xhamster-video-downloader,https://serp.ly/xhamster-video-downloader,Downloader;Adult,xhamster video downloader
xnxx-video-downloader,XNXX Video Downloader,draft,XNXX,One-time payment,$17.00,,Get it Now,price_1S9PBd06JrOmKRCmvSxzbjnz,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=xnxx-video-downloader,https://store.serp.co/product-details/product/xnxx-video-downloader,https://apps.serp.co/xnxx-video-downloader,https://serp.ly/xnxx-video-downloader,Downloader;Adult,xnxx video downloader
xvideos-downloader,XVideos Downloader,draft,XVideos,One-time payment,$17.00,,Get it Now,price_1S99gL06JrOmKRCmtPCthojb,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=xvideos-downloader,https://store.serp.co/product-details/product/xvideos-downloader,https://apps.serp.co/xvideos-downloader,https://serp.ly/xvideos-downloader,Downloader;Adult,xvideos downloader
youporn-video-downloader,Youporn Video Downloader,draft,Youporn,One-time payment,$17.00,,Get it Now,price_1RvXMm06JrOmKRCmEXZ7GsiQ,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=youporn-video-downloader,https://store.serp.co/product-details/product/youporn-video-downloader,https://apps.serp.co/youporn-video-downloader,https://serp.ly/youporn-video-downloader,Downloader;Adult,youporn video downloader
youtube-downloader,Youtube Downloader,draft,Youtube,One-time payment,$17.00,,Get it Now,price_1S99xB06JrOmKRCmCyZM0ENF,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=youtube-downloader,https://store.serp.co/product-details/product/youtube-downloader,https://apps.serp.co/youtube-downloader,https://serp.ly/youtube-downloader,Downloader;Social Media,youtube downloader
